filename,date,time,DOY,latitude,longitude,altitude,canopy_height,displacement_height,roughness_length,file_length,acquisition_frequency,master_sonic_manufacturer,master_sonic_model,master_sonic_height,master_sonic_wformat,master_sonic_wref,master_sonic_north_offset,master_sonic_hpath_length,master_sonic_vpath_length,master_sonic_tau,co2_irga_manufacturer,co2_irga_model,co2_measure_type,co2_irga_northward_separation,co2_irga_eastward_separation,co2_irga_vertical_separation,co2_irga_tube_length,co2_irga_tube_diameter,co2_irga_tube_flowrate,co2_irga_kw,co2_irga_ko,co2_irga_hpath_length,co2_irga_vpath_length,co2_irga_tau,h2o_irga_manufacturer,h2o_irga_model,h2o_measure_type,h2o_irga_northward_separation,h2o_irga_eastward_separation,h2o_irga_vertical_separation,h2o_irga_tube_length,h2o_irga_tube_diameter,h2o_irga_tube_flowrate,h2o_irga_kw,h2o_irga_ko,h2o_irga_hpath_length,h2o_irga_vpath_length,h2o_irga_tau,ch4_irga_manufacturer,ch4_irga_model,ch4_measure_type,ch4_irga_northward_separation,ch4_irga_eastward_separation,ch4_irga_vertical_separation,ch4_irga_tube_length,ch4_irga_tube_diameter,ch4_irga_tube_flowrate,ch4_irga_kw,ch4_irga_ko,ch4_irga_hpath_length,ch4_irga_vpath_length,ch4_irga_tau
2021-12-18T073000_smart3-00551.ghg,2021-12-18,08:00,352.3332,36.810657499999998,-121.74884800000000,-2.0000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T080000_smart3-00551.ghg,2021-12-18,08:30,352.3541,36.810657499999998,-121.74884800000000,-2.0000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T083000_smart3-00551.ghg,2021-12-18,09:00,352.3749,36.810653690000002,-121.74884030000000,1.0000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T090000_smart3-00551.ghg,2021-12-18,09:30,352.3957,36.810649869999999,-121.74883269999999,4.2000000000000002,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T093000_smart3-00551.ghg,2021-12-18,10:00,352.4166,36.810649869999999,-121.74883269999999,4.2000000000000002,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T100000_smart3-00551.ghg,2021-12-18,10:30,352.4374,36.810680390000002,-121.74883269999999,8.0999999999999996,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T103000_smart3-00551.ghg,2021-12-18,11:00,352.4582,36.810680390000002,-121.74883269999999,8.0999999999999996,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T110000_smart3-00551.ghg,2021-12-18,11:30,352.4790,36.810668950000000,-121.74883269999999,2.1000000000000001,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T113000_smart3-00551.ghg,2021-12-18,12:00,352.4999,36.810665129999997,-121.74884030000000,-1.3999999999999999,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T120000_smart3-00551.ghg,2021-12-18,12:30,352.5207,36.810665129999997,-121.74884030000000,-1.3999999999999999,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T123000_smart3-00551.ghg,2021-12-18,13:00,352.5415,36.810657499999998,-121.74883269999999,1.7000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T130000_smart3-00551.ghg,2021-12-18,13:30,352.5624,36.810657499999998,-121.74883269999999,1.7000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T133000_smart3-00551.ghg,2021-12-18,14:00,352.5832,36.810668950000000,-121.74884030000000,4.9000000000000004,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T140000_smart3-00551.ghg,2021-12-18,14:30,352.6040,36.810703279999998,-121.74884030000000,1.7000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T143000_smart3-00551.ghg,2021-12-18,15:00,352.6249,36.810703279999998,-121.74884030000000,1.7000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T150000_smart3-00551.ghg,2021-12-18,15:30,352.6457,36.810691830000003,-121.74884800000000,1.3000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T153000_smart3-00551.ghg,2021-12-18,16:00,352.6665,36.810691830000003,-121.74884800000000,1.3000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T160000_smart3-00551.ghg,2021-12-18,16:30,352.6873,36.810676569999998,-121.74886320000000,0.0000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T163000_smart3-00551.ghg,2021-12-18,17:00,352.7082,36.810668950000000,-121.74886320000000,-0.50000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T170000_smart3-00551.ghg,2021-12-18,17:30,352.7290,36.810668950000000,-121.74886320000000,-0.50000000000000000,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T173000_smart3-00551.ghg,2021-12-18,18:00,352.7498,36.810653690000002,-121.74887850000000,-0.20000000000000001,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T180000_smart3-00551.ghg,2021-12-18,18:30,352.7707,36.810653690000002,-121.74887850000000,-0.20000000000000001,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T183000_smart3-00551.ghg,2021-12-18,19:00,352.7915,36.810653690000002,-121.74887080000001,-2.8999999999999999,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T190000_smart3-00551.ghg,2021-12-18,19:30,352.8123,36.810672760000003,-121.74886320000000,3.1000000000000001,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2021-12-18T193000_smart3-00551.ghg,2021-12-18,20:00,352.8331,36.810672760000003,-121.74886320000000,3.1000000000000001,0.34999999999999998,0.23449999999999999,5.2499999999999998E-002,30.000000000000000,20.000000000000000,gill,wm_1,2.3550000000000000,uvw,spar,9.0000000000000000,11.000000000000000,12.500000000000000,3.1250000000000000E-002,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500ds_1,molar_density,-28.000000000000004,-4.5000000000000000,0.50000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,22.000000000000000,21.000000000000000,-12.500000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
